"","Indicator","Category","Weight","Accra","Amsterdam","Bangkok","Beirut","Berlin","Bogota","Boston","Buenos.Aires","Cairo","Caracas","Casablanca","Chicago","Dallas","Dar.Es.Salaam","Detroit","Dubai","Durban","Hong.Kong","Istanbul","Jakarta","Johannesburg","Karachi","Lagos","Lima","London","Los.Angeles","Madrid","Manila","Mexico.City","Miami","Montreal","Moscow","Mumbai","Nairobi","New.Delhi","New.York.City","Osaka","Paris","Quito","Rio.De.Janeiro","Rome","San.Francisco","Santiago","Sao.Paulo","Seoul","Shanghai","Singapore","Sydney","Tehran","Tel.Aviv","Tokyo","Toronto","Vancouver","Warsaw","Washington"
"15","bike.rental","Transit","0.87","0","6000","500","0","1750","200","1300","3000","0",1,"0","3000","15","0","0","364","0","50","100","0",0,"0",0,"500","19200",0,"1580","0",4000,1000,"5120",2500,"0","0","80","10950",60,20000,625,"600",0,700,"2100",1500,570,28000,0,0,7600,1650,200,800,"1500","2650",2500
"16","km.bike.path","Transit","0.87","0","513","23.5","0","1087","376","10","130","0",3.1,"1.9","179","198","0","69.2","104","0","5","83.3","1.5",100,"0",0,"150","495",130,"30","1.75",128,88,"530",150,"13","100","14.5","410",87.2,440,49.64,"250",258,346.009,"214",120,666,0,0,200,222,120,126,117,"400","400",80.4672
"17","commute.time.transit","Transit","0.87","N/A","51","92","25","30","69","31","61","n/a",90,"n/a","68","99","0","81","125","n/a","66","72","188",38,"n/a",156,"n/a","76",123,"53","17",53,71,"111",69,"58","78","100","80",44,62,79,"72",45,81,"72",83,50,81,22,132,60,23,150,94,"40","64",60
"18","commute.time.foot","Transit","0.87","148","198","271","45","243","349","63","160","197",137,"195","364","540","210","287","490","189","268","477","51",220,"572",331,"63","404",595,"172","55",361,145,"285",184,"311","356","327","341",150,219,360,"314",300,203,"233",344,232.2,81,91,696,390,105,900,422,"132","371",124
"19","commute.time.airport","Transit","environment <- f.scores[ , cat.lookup[cat.lookup$Category == ""Safety"", 1]]","n/a","38","59","15","33","35","25","n/a","n/a",90,"40","71","102","24","150","26","n/a","111","n/a","143",62,"n/a",121,"30","15",95,"53","80",40,30,"54",76,"15","n/a","55","37",45,60,38,"15",32,40,"26",75,40,58,58,17,90,59,50,80,"44","33",96
"20","transit.app","Transit",NA,"0","1","0","0","1","1","1","1","0",1,"0","1","1","0","1","1","0","1","1","1",0,"1",0,"1","1",1,"1","0",1,1,"1",1,"1","1","0","1",1,1,0,"1",1,1,"1",1,1,1,1,1,1,1,1,1,"1","0",1
"21","pop.density","Transit","0.87","13115.61","4960.74","5281.2","19000","3836.13","14728.87","5150.83","14237.2","19375.66",3553.46,"10480.120000000001","4486.4399999999996","3667.64","3133.2","4963.6099999999997","538.12","1379.51","6405.43","2766.94","17129.55",2695.94,"6662.89",18157.18,"3459.01","5199.71",2983.34,"5225.1400000000003","18567.03",5920.45,507.82,"2475.2199999999998",4581.24,"27150.15","4509.1499999999996","11312.63","10694.45",12033.57,8530.18,7169.9,"5378.07",2244.29,4741.13,"10479.77",7815.96,16723.82,5727.89,7395.8,384.66,11169.93,7831.18,6034.78,4149.51,"5249.21","3333.99",3722.56
"22","taxi.rate","Transit","0.87","15","2.83","35","0","3.4","3600","2.6","12","3.5",80,"1.7","3.25","2.25","3000","2.5","3","0","19","3.2","7000",32.5,"15",1200,"15","2.4",2.85,"2","3.5",8.74,2.95,"3.45",6.98,"21","300","25","2.5",680,2,0.35,"4.8",3,3.5,"250",4.1,3000,13,3.4,3.6,0.42,11.5,730,4.5,"3.2","8",3.25
"23","health.clinics","Health","0.86899999999999999","7","23","88","2","71","24","9","177.66300000000001","0",11,"12","7","43","110","25","20","30","15","65","341",80,"250",282,"36","2132",0,"190","6",148,12,"77",160,"122","78","251","51",5,50,190,"98",19,26,"69",0,41,0,18,8,50,60,150,23,"9","234",51
"24","sex.health.clinic","Health","0.86899999999999999","0","1","0","0","9","2","27","45","6",1,"1","6","13","0","28","0","11","8","6","0",8,"150",1,"0","351",0,"4","2",6,49,"13",0,"2","6","0","12",3,1,0,"53",10,107,"0",0,0,0,2,11,7,1,33,14,"8","2",4
"25","homeless.shelter","Health","0.86899999999999999","N/A","13","10","n/a","114","8","8","32","0",1,"2","100","21","0","43","0","6","14","23","73",30,"5",3,"4","73",32,"9","5",10,16,"28",0,"9","35","88","27",5,12,2,"13",7,19,"20",0,0,0,3,0,9,9,6,51,"12","28",23
"26","smoking.scale","Health","0.86899999999999999","23","21","19","12","20","21","20","19","19",21,"20","20","20","19","20","20","20","21","19","19",19,"21",20,"20","20",20,"21","19",21,20,"21",20,"20","19","20","24",22,20,21,"19",21,20,"21",21,21,19,20,21,20,21,22,22,"22","21",19
"27","mental.health.facilities","Health","0.86899999999999999","0.16","1.19","0.14000000000000001","0.24","30.32","0.02","1.95","0.13","0.11",0.01,"0.25","1.95","1.95","0.28000000000000003","1.95","0.06","6.85","0.06","0.01","0.02",6.85,"2.02",0.03,"2.4700000000000002","0.6",1.95,"1.1499999999999999","0.05",0.03,1.95,"7.0000000000000007E-2",2.97,"0.33","0.01","0.33","1.95",2.31,5.75,0.26,"0.44",1.43,1.95,"0.79",0.44,2.35,0.06,0.06,4.65,1.43,1.24,2.31,0.07,"7.0000000000000007E-2","3.2",1.95
"28","doctor.density","Health","0.86899999999999999","0.1","2.9","0.4","3.2","3.7","1.5","2.5","3.2","2.8",2.5,"0.6","2.5","2.5","0.1","2.5","1.9","0.8","1.9","1.7","0.2",0.8,"0.8",0.4,"1.1000000000000001","2.8",2.5,"3.7","0.6",2.1,2.5,"2.1",4.3,"0.7","0.2","0.7","2.5",2.3,3.2,1.7,"1.9",4.1,2.5,"1",1.9,2.1,1.9,1.9,3.3,0.9,3.3,2.3,2.1,"2.1","2.2000000000000002",2.5
"29","city.connections.flight","Travel","0.86399999999999999","29","212","202","45","117","74","104","63","81",27,"91","246","211","25","135","206","17","180","273","64",85,"73",44,"11","189",152,"176","78",105,149,"139",258,"90","62","108","232",223,293,13,"54",194,156,"39",97,164,218,309,186,25,256,299,174,"100","120",129
"30","getaway.bus.cost","Travel","0.86399999999999999","80","27.806799999999999","1200","n/a","36","60000","3","450","32",113.76,"160","5","10","35","10","n/a","195","100","60","90000",195,"350",4150,"5","20",10,"35","1861.65",470,26,"15",1997.5,"1200","16.75","401","3",5700,25.5,25,"85",18,20,"8.4",78.25,17.96,7.24,180,115,13250,82,5000,15,"36","47",26
"31","getaway.bus.time","Travel","0.86399999999999999","418","615","600","n/a","270","540","270","240","180",360,"210","480","195","600","310","n/a","340","210","360","180",390,"120",546,"150","450",440,"430","48",330,10,"345",660,"1140","540","450","120",554,410,540,"360",190,420,"120",360,260,120,2400,810,240,300,429,345,"120","300",295
"32","getaway.bus.freq","Travel","0.86399999999999999","1","4","48","n/a","11","13","13","96","24",2,"10","5","6","5","12","n/a","35","37","96","47",36,"29",17,"65","5",8,"48","10",35,936,"12",10,"22","22","86","14",8,6,25,"79",6,12,"130",77,37,37,1,7,24,10,5,18,"6","27",28
"33","getaway.plane.cost","Travel","0.86399999999999999","1433.87","81","3380","247","83","41","60","1400","126",55700,"1691.4","106","193","199420","207","717","1323","1293","193","66",1323,"26593",136,"99","91",140,"80","82",2124,528,"229",4920,"72","88","12147","359",80,195,100,"290",160,140,"242",59,104,511,240,107,98200,290,70,109.75,"209","100",75
"34","getaway.plane.time","Travel","0.86399999999999999","60","60","70","197","60","50","65","55","75",45,"40","83","52","30","65","170","65","65","60","97",65,"60",75,"60","70",70,"75","100",62,124,"70",70,"87","50","45","53",62,75,60,"47",55,72,"122",52,55,227,90,90,60,60,62,68,"45","55",65
"35","getaway.plane.freq","Travel","0.86399999999999999","5","141","12","7","3","59","200","5","52",2,"5","28","28","13","41","7","40","43","66","90",40,"7",3,"31","171",72,"77","29",8,7,"52",31,"195","9","5","57",59,60,20,"141",4,68,"16",119,41,20,4,80,1,5,53,45,"2","9",45
"36","hostel.stay","Travel","0.86399999999999999","46.73","17.71","439","21169","12.6","36762.47","37.61","120","59.83",226.3,"247.9","37.56","28.55","35000","28","88.7","150","431.85","42.31","140200.97",200,"250",7500,"50","19.57",43.4,"25","461.63",279,28.12,"20.350000000000001",863,"600","2177.8000000000002","200","53.33",2199,28.44,11.23,"39.630000000000003",13.68,41.62,"23.501999999999999",47.65,18991,57.3,23.7,35.92,40,20.52,2757.5,34.89,"30","46.88",33.56
"37","unemployment.youth","Employment","0.85199999999999998","50.3","24","2.8","35","11.3","15","12.2","16.100000000000001","30",16.1,"19.3","18.5","13.5","13.4","16.899999999999999","11","38.729999999999997","1.5","19.2","14.35",53.6,"7.7",54,"13.5","23.9",20.2,"51.8","13",12.6,16.4,"9.6999999999999993",14.1,"5.8","30","15.75","18",6.2,7.4,7.1,"13.5",30.4,20.2,"15.13",16.6,10,17,6.7,10.6,9.9,5,5.5,17.6,"13.2","17.100000000000001",15.6
"38","employment.programs","Employment","0.85199999999999998","1","2","2","1","2","2","2","2","1",1,"2","2","1","1","2","0","2","2","2","2",2,"2",2,"2","2",2,"2","1",2,1,"2",1,"2","1","1","2",2,2,1,"2",2,2,"2",2,0,1,1,2,2,2,2,2,"2","2",2
"39","youth.employment.centers","Employment","0.85199999999999998","2","3","0","13","28","3","3","1","0",5,"6","21","5","3","4","1","6","14","2","0",20,"15",0,"4","0",1,"9","0",35,2,"23",0,"4","2","1","15",9,2,1,"0",16,33,"40",4,1,0,1,0,30,2,22,1,"5","9",2
"40","new.jobs.2013","Employment","0.85199999999999998","n/a","8500","0","3400","80738","29510.560000000001","31700","48000","33918",175423,"12000","35500","90100","9000","-4900","n/a","66750","N/A","219830","0",33600,"0",93040,"109300","83000",117200,"73200","0",157231,70600,"26300",30000,"60000","51940","130000","313000",1037,-3500,0,"21920.61",0,53000,"75000",36534.35,1e+05,6e+05,21400,34000,70000,2300,298511,159000,"6560","3872",8600
"41","water.scale","Environment","0.85099999999999998","3","3","0","0","1","2","2","2","1",1,"3","3","2","2","3","1","3","1","1","0",3,"2",1,"2","3",2,"2","2",2,3,"1",3,"1","2","1","3",2,2,3,"3",3,3,"3",1,1,0,2,3,3,3,2,3,"3","2",2
"42","smart.cities.scale","Environment","0.85099999999999998","3","6","6","2","6","5","6","4","6",5,"6","6","4","6","6","6","6","6","0","0",6,"6",6,"1","6",6,"6","6",6,6,"6",6,"4","5","4","6",6,6,6,"6",6,6,"5",0,3,1,6,5,6,5,6,6,"6","6",6
"43","qty.recycled.materials","Environment","0.85099999999999998","36500","114712.242","n/a","122749","474614","1404660","48000","60000","3285000",328500,"25846","3451500","134000","n/a","20100","365000","852000","2160000","255000","58400",14000,"200000",474500,"397445","6000000",202414,"2416000","117000",1642500,42116,"173047",1160000,"n/a","23000","n/a","3028000",415200,803428,490066,"6800",545638,1575500,"404243.56799999997",71905,2810500,4233270,4825900,21075,2190000,60563,1063725,650892,"25098","0",34000
"44","qty.annual.waste","Environment","0.85099999999999998","730000","448272.66200000001","n/a","695580","866901","2351131","192000","1556000","2190000",1642500,"464488","4218500","2200000","76326","402000","n/a","1800000","5053060","4800000","2241100",1600000,"310000",3175500,"2252189","14000000",2926001,"1534505.93","3200000",4705945,1300000,"1281113.7",5500000,"2372500","730000","2668150","4741000",3460000,2162560,678738,"1000000",1210119,444000,"2807247",4425625,1200000,6600000,3025600,39928,547500,423517,3546094,172851,"480000","0",99000
"45","carbon.emissions","Environment","0.85099999999999998","0","5000000","42750000","0","20170000","14698237.049999999","6800000","9810000","13000000",1.7e+07,"6894871.8999999994","35550000","17229388","0","10600000","50032897","29360395","42700000","0","43860000",19540000,"0",17200000,"0","77000000",33940000,"12040000","5720000",7e+06,5492157,"13700000",44600000,"23000000","1100000","15410000","48020000",16920000,24600000,6808500,"11350000",10010000,5010000,"19590000",1.5e+07,4.9e+07,254662200,4510000,5500000,571612,4510420,6e+07,20660000,"2690000","13",527000
"46","num.recycled.materials","Environment","0.85099999999999998","9","11","0","7","8","11","15","8","5",7,"4","15","7","0","9","8","7","22","7","6",7,"6",6,"13","8",10,"18","10",7,8,"19",3,"0","6","0","6",16,15,15,"0",20,33,"1",15,10,6,14,7,10,5,17,28,"30","6",21
"47","registered.vehicles","Environment","0.85099999999999998","605739","249820","7384934","850000","1120360","1492483","311943","1406329","2000000",2200000,"595917","1604353.5","802777","129541","436050","1187588","1400000","686884","1600000","n/a",3650000,"2614580",293864,"1453028","2600000",2872768,"1913177","1900000",2568000,1862412,"827479",5500000,"2330000","300000","8052507","2016158",887477,2145000,429173,"1867000",2421282,471388,"1695442",0,2974218,3291700,620011,3187518,3200000,192000,4418054,2173700,"341684","1262405",275000
"48","post.secondary.institutions","Education","0.84299999999999997","19","29","48","23","47","110","30","59","22",69,"54","36","21","14","13","41","21","25","41","18",8,"31",13,"33","46",31,"27","23",192,18,"34",10,"77","37","11","20",20,65,21,"12",26,10,"21",18,22,29,11,86,37,5,53,16,"12","170",22
"49","tuition.cost","Education","0.84299999999999997","2765.5","5990.333333333333","6234","10335562.5","599","5390","29731.107142857141","0","500",8476.07368421053,"20831.57894736842","14379.15","12754.95","2818181.8181818184","20483.142857142859","57268.132463636364","34032.33","48028.888888888891","18897.619047619046","5900000",27146.67,"79342.5",66708,"37120","9146.5731707317082",22324.2,"8094.0395238095243","67128.205128205125",60906.6097560976,17166.16,"4597.8",172169.555555556,"36425","129237.75","42313.1","27934.1",1279429.47368421,388.5,2300,"17712",3448.16666666667,17530.125,"3001150",34417.1892352941,6741542.85714286,24009.25,8234.4,13118.41,422700,12774,957945.262396227,6914.21428571429,"8258.4040000000005","5060.3999999999996",20594
"50","undergrad.enrollment","Education","0.84299999999999997","43706","18123.8","750716","131000","153967","0","80835","0","716870",161610,"23923","203657","88429","24298","46179","21087","47897","97331","251911","649649",69638,"270270",262616,"0","157397",234562,"247309.77600000001","296703",1469002,171222,"114460",185250,"618400","31088","80864","122366",32335,0,98929,"470777",234360,34626,"446529",585092.217,274046,259662,97345,221863,0,6626.66666666667,1038900,186418,"19016.5","145595",88933
"51","student.housing","Education","0.84299999999999997","n/a","493","103000","5614500","258","813000","4,263.33","24000","6000",61800,"0","7396","7,485.00","24000","5,798.00","24453.333299999998","17333","12498","2169","40060",25000,"1300",75000,"6872","5366.87",8189.81,"450","104400",3493,6262,"5749.28",4067,"14483.33","7773.33","19940","7137.67",480000,5000,250,"0",145,7786.33,"n/a",0,582000,28800,3216,8922.56,117500,2060,398400,7193,"8513","2835",8152.67
"52","student.debt","Education","0.84299999999999997","n/a","14450","200000","12270000","8510","10090658","25621","1","0",0,"0","23841","24311","10000000","26479","0","132000","150500","5200","30400000",10774,"0",0,"NA","22000",17493,"no","zero - no student debt",8695,27907,"13180",0,"NA ","160000","0","22675.5",591300,0,7000,"0",0,27014,"4900",9600,13080000,63394,20000,20000,300,13000,3240000,28000,"35000","n/a",40885
"53","employment.initiatives.scale","Entrepreneurship","0.84099999999999997","1","2","2","1","2","2","2","2","1",1,"2","2","1","1","2","0","2","2","2","2",2,"2",2,"2","2",2,"2","1",2,1,"2",1,"2","1","1","2",2,2,1,"2",2,2,"2",2,0,1,1,2,2,2,2,2,"2","2",2
"54","age.register.business","Entrepreneurship","0.84099999999999997","21","18","20","18","14","18","18","18","21",18,"15","16","18","18","18","18","18","18","18","21",18,"18",18,"18","16",0,"18","18",18,0,"18",18,"19.5","18","19.5","18",16,16,18,"16",18,0,"18",16,0,18,18,18,18,18,16,18,"18","18",18
"55","num.incubators","Entrepreneurship","0.84099999999999997","6","13","4","3","26","13","20","9","7",7,"4","21","29","6","7","8","17","17","15","5",19,"3",9,"2","33",28,"7","11",32,8,"12",4,"4","9","4","116",8,20,3,"22",8,39,"14",11,8,16,4,10,22,9,12,41,"11","15",10
"56","early.entrepreneurship","Entrepreneurship","0.84099999999999997","25.8","9.3000000000000007","17.7","9.6","5","23.7","12.7","15.9","9.6",18.5,"9.6","12.7","12.7","26.6","12.7","9.6","10.6","14","7.4","25.5",10.6,"12.4",39.9,"23.4","7.1",12.7,"5.2","18.5",14.8,12.7,"12.2",5.8,"9.9","26.6","9.9","12.7",3.7,4.6,36,"17.3",3.4,12.7,"24.3",17.3,6.9,14,10.7,0,12.3,10,3.7,12.2,"12.2","9.3000000000000007",12.7
"57","ease.doing.business","Entrepreneurship","0.84099999999999997","956","528","429","1155","404","762","319","1251","1249",1663,"902","319","319","1361","319","446","664","183","753","1200",664,"1565",663,"309","319",632,"1128","747",319,458,"851",1390,"1425","1390","319","572",1300,556,1769,"1215",825,319,"589",1215,208,1087,90,333,1351,749,572,458,"458","621",319
"58","green.public.space","Public space","0.83299999999999996","n/a","13.9217382","18.809999999999999","1.52","286.45","783.29","20.234000000000002","47.622100000000003","5.68",35.28,"3.8","28.676020000000001","94.417207000000005","4","23.96144","29.0764","186.6","23.02","6.3000000000000003E-4","66.099999999999994",222.78,"17",3.88,"2.4077305299999998","51.71",40.557595,"35","10.64",46.910724,3.52077,"43.99",188.89,"15.37","37.299999999999997","22.26","210.59435999999999",8.717624,142.6,20.2,"58",1.286,37.7855,"11606",141.264712,269.139187,342.56,71.6,18.8,485,0.2,875.24,73.93,"15.8","200",34.45089
"59","sports.facilities","Public space","0.83299999999999996","n/a","30","n/a","7","2381","90","15","216","93",35,"7","2320","525","3","580","55","180","1034","26","0",551,"261",3,"1591","2263",91,"69","0",3668,230,"6",15270,"7","23","68","4240",158,5935,0,"157",156,122,"177",459,2754,14425,21,27,19,48,1921,596,"183","390",315
"60","public.libraries","Public space","0.83299999999999996","9","26","10","4","84","21","25","30","18",8,"11","70","28","16","23","7","92","67","15","8",83,"79",12,"55","342",73,"232","11",408,48,"43",488,"28","2","39","91",24,313,46,"74",39,49,"74",133,123,37,27,24,54,20,331,99,"22","195",26
"61","business.banking","Financial services","0.81799999999999995","18","18","20","18","8","18","18","18","21",18,"20","18","18","18","18","21","18","18","18","21",18,"18",18,"18","18",18,"18","18",18,18,"12",18,"18","18","18","18",15,17,18,"18",18,18,"18",18,19,18,18,18,18,14,15,18,"18","18",0
"62","personal.banking","Financial services","0.81799999999999995","18","18","15","18","18","18","18","18","18",14,"12","18","18","18","18","18","18","18","18","17",18,"1",18,"18","16",18,"18","18",18,18,"12",18,"10","18","10","18",15,18,18,"16",13,18,"18",16,14,16,16,18,12,14,15,12,"12","18",0
"63","chartered.banks","Financial services","0.81799999999999995","1","12","32","30","36","23","18","32","34",7,"12","71","67","40","31","43","10","23","49","74",17,"31",22,"18","160",64,"127","10",22,0,"8",541,"57","44","62","218",9,31,29,"154",126,22,"25",7,47,37,6,34,29,10,11,23,"5","28",0
"64","online.banking","Financial services","0.81799999999999995","1","12","32","23","29","20","16","29","20",7,"9","62","60","24","31","40","10","22","37","11",17,"7",19,"14","n/a",0,"110","10",21,0,"8",398,"57","13","59","210",9,31,18,"0",0,22,"25",7,8,0,6,34,28,10,11,23,"5","28",0
"65","mobile.banking","Financial services","0.81799999999999995","1","6","1","9","23","13","16","7","4",2,"3","52","45","24","30","23","6","21","29","6",11,"7",19,"18","n/a",0,"79","10",20,0,"8",167,"45","10","47","0",7,27,5,"0",0,18,"20",7,8,0,6,27,18,9,5,19,"5","21",0
"66","financial.literacy","Financial services","0.81799999999999995","2","2","0","2","2","2","2","2","0",2,"3","3","2","2","3","2","2","2","0","2",2,"2",0,"2","2",2,"2","2",2,3,"0",0,"3","0","3","3",2,0,0,"0",0,3,"2",2,2,2,3,3,3,2,2,2,"3","2",0
"67","voting.languages","Diversity","0.81100000000000005","1","1","1","1","1","1","3","1","1",1,"2","16","1","1","1","1","11","8","1","1",11,"3",1,"1","26",10,"1","2",2,3,"15",1,"2","2","2","5",1,1,1,"1",1,5,"1",1,1,1,4,24,1,2,1,27,"5","1",3
"68","diversity.food","Diversity","0.81100000000000005","4","86","68","31","86","33","82","28","27",36,"15","113","91","19","45","69","28","67","22","45",35,"72",13,"29","114",49,"61","48",55,55,"111",45,"30","34","42","109",52,105,28,"27",53,78,"46",54,57,48,68,69,18,60,95,111,"81","66",79
"69","openness.lgbtq","Diversity","0.81100000000000005","6","14","8","5","14","9","13","14","4",8,"4","13","12","4","10","5","14","8","9","7",14,"6",4,"9","13",13,"14","7",14,13,"13",7,"8","4","8","13",9,13,12,"12",12,14,"8",13,9,9,4,11,7,13,9,14,"14","9",12
