"","0.75900000000000001","X2","86","X4","X5","X6","X7","87","X9","X10","X11","X12","X13","X14","X15","X16","88","X18","X19","X20","X21","X22","X23"
"1","Film Attribute Totals
(sorted by winner below)",NA,"FIlm festivals","raw data","difference","raw score","weighted score","Cost of a movie ticket","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Number of cinema seats","raw data","population","per 10000","difference","raw score","weighted score"
"92","Singapore","31.224135486156598","Jakarta",NA,"80","-1.2658227848101262","11.368987341772149","Warsaw","24.8","0.31690000000000002","7.8591200000000008","2.66","2.9545563909774439","2.0137592253441401","92.567797126030854","70.258958018657424","Osaka","15307","2683487","57.041453899348127","369.99437151690648","13.327240522805084","10.11537555680906"
"93","Rio De Janeiro","30.53349886359614","Boston","12","68","13.924050632911388","10.568354430379744","Jakarta","43853.15","1E-4","4.3853150000000003","1.47","2.9832074829931976","2.0424103173598938","92.462054231973866","70.17869916206817","Quito","15210","2670000","56.966292134831463","370.06953328142316","13.309633558917696","10.102011871218531"
"94","Istanbul","30.420395603318042","New Delhi","12","68","13.924050632911388","10.568354430379744","Bogota","10811.25","5.0000000000000001E-4","5.4056249999999997","1.72","3.1428052325581395","2.2020080669248356","91.873025097771958","69.731626049208913","Tokyo","71431","13202041","54.106027999761551","372.9297974164931","12.639604486843453","9.5934598055141809"
"95","Moscow","30.053235986709435","Washington","12","68","13.924050632911388","10.568354430379744","Santiago","4094.56","2E-3","8.1891200000000008","2.5299999999999998","3.2368063241106726","2.2960091584773688","91.526094256189552","69.468305540447872","Montreal","20246","3824220","52.941514871006369","374.09431054524828","12.366812320025261","9.3864105508991731"
"96","Osaka","29.836406477663903","Madrid","11","69","12.658227848101262","9.6075949367088587","Istanbul","15.69","0.52529999999999999","8.2419569999999993","2.4700000000000002","3.3368246963562749","2.396027530722971","91.156955371908865","69.188129127278827","Sao Paulo","60456","11895893","50.820900961365403","376.21492445488923","11.870049467712775","9.0093675459939959"
"97","Johannesburg","28.900406800921825","Bangkok","10","70","11.392405063291136","8.6468354430379719","Durban","52.2","0.1038","5.4183600000000007","1.38","3.9263478260869573","2.9855506604536535","88.981196004099189","67.536727767111287","Beirut","8631","1900000","45.426315789473684","381.60950962678095","10.606344884408728","8.0502157672662236"
"98","Jakarta","28.736918865640686","Singapore","10","70","11.392405063291136","8.6468354430379719","Manila","222.2","2.3599999999999999E-2","5.2439199999999992","1.29","4.0650542635658908","3.124257097932587","88.469270660545376","67.148176431353946","Tehran","34211","8154051","41.955832751107387","385.07999266514724","9.7933694317800928","7.4331673987210909"
"99","Quito","28.634918137756429","Dallas","9","71","10.12658227848101","7.6860759493670869","Lima","16.13","0.37619999999999998","6.0681059999999993","1.47","4.1279632653061222","3.1871660996728184","88.23709172989274","66.971952622988596","Moscow","46667","11503501","40.567649796353301","386.46817561990133","9.4681816543161688","7.1863498756259725"
"100","Karachi","28.215026568207723","Osaka","8","72","8.8607594936708836","6.7253164556962011","Rio De Janeiro","21.59","0.46410000000000001","10.019919","2.31","4.3376272727272722","3.3968301070939684","87.463282518288977","66.384631431381337","Miami","8268","2496435","33.119228019155315","393.91659739709928","7.723357087031431","5.862028029056856"
"101","Tel Aviv","28.028624223788","Lima","7","73","7.5949367088607573","5.7645569620253152","Sao Paulo","22.91","0.46410000000000001","10.632531","2.31","4.6028272727272723","3.6620301070939685","86.484506020398669","65.641740069482594","Tel Aviv","4125","1331300","30.984751746413281","396.05107366984134","7.2233469170423916","5.4825203100351754"
"102","Santiago","28.0090751532734","Mumbai","7","73","7.5949367088607573","5.7645569620253152","Shanghai","79.92","0.1615","12.907080000000001","2.75","4.693483636363637","3.7526864707303331","86.149919602180461","65.387788978054971","New Delhi","45054","16787941","26.83712076424381","400.1987046520108","6.2517466706821381","4.7450757230477425"
"103","Dubai","26.541884164483019","Beirut","6","74","6.3291139240506311","4.8037974683544293","Casablanca","57.95","0.1201","6.9597950000000006","1.47","4.7345544217687081","3.7937572561354043","85.998339211892457","65.272739461826376","Jakarta","30000","11374022","26.375894120830782","400.65993129542386","6.1437023624265237","4.6630700930817319"
"104","Lima","25.42192328059933","Caracas","6","74","6.3291139240506311","4.8037974683544293","Bangkok","181.33","3.2599999999999997E-2","5.9113579999999999","1.22","4.8453754098360653","3.9045782442027615","85.589330996985552","64.96230222671204","Lima","19503","9752000","19.998974569319113","407.03685084693552","4.6498817612438472","3.5292602567840801"
"105","Bangkok","24.942637742860921","Tel Aviv","6","74","6.3291139240506311","4.8037974683544293","Johannesburg","65","0.1038","6.7469999999999999","1.38","4.8891304347826088","3.9483332691493049","85.427843854895499","64.839733485865679","Shanghai","40424","21766000","18.572084903059817","408.46374051319481","4.3156267715337293","3.2755607195941008"
"106","New Delhi","24.768102584730016","Dubai","5","75","5.0632911392405049","3.8430379746835435","Karachi","267.75","9.9000000000000008E-3","2.650725","0.52","5.0975480769230765","4.1567509112897723","84.658634617064436","64.255903674351913","Casablanca","6640","4055807","16.371587701288547","410.66423771496608","3.8001509173540171","2.8843145462716988"
"107","Beirut","23.778705386261823","Nairobi","5","75","5.0632911392405049","3.8430379746835435","Cairo","35.39","0.14630000000000001","5.1775570000000002","0.91","5.6896230769230769","4.7488259112897726","82.47345703415192","62.597353888921305","Cairo","9847","10230350","9.6252816374806329","417.41054377877401","2.2197999503089818","1.6848281622845172"
"108","Manila","23.429617541652735","Quito","5","75","5.0632911392405049","3.8430379746835435","Dubai","36.549999999999997","0.27229999999999999","9.9525649999999981","1.56","6.3798493589743579","5.4390521933410536","79.926031456859334","60.663857875756236","Mumbai","9616","12442373","7.7284292956014102","419.30739612065321","1.7754541995414286","1.3475697374519444"
"109","Casablanca","23.359524331813279","Santiago","5","75","5.0632911392405049","3.8430379746835435","Nairobi","528.57000000000005","1.18E-2","6.2371260000000008","0.9","6.9301400000000006","5.9893428343666963","77.895067857896706","59.122356504143603","Accra","1752","2269000","7.7214631996474212","419.31436221660721","1.7738223618552382","1.3463311726481257"
"110","Shanghai","23.208036397106653","Vancouver","5","75","5.0632911392405049","3.8430379746835435","New Delhi","252.97","1.7100000000000001E-2","4.325787","0.62","6.9770758064516132","6.0362786408183089","77.721841371228663","58.990877600762559","Bangkok","5800","8280925","7.0040484607697806","420.03177695548482","1.6057648996478946","1.218775558832752"
"111","Durban","23.140052623677239","Manila","4","76","3.7974683544303787","2.8822784810126576","Beirut","14317.4","6.9999999999999999E-4","10.022179999999999","1.4","7.1586999999999996","6.2179028343666953","77.051519002852189","58.48210292316481","Istanbul","7786","14377018","5.41558757177601","421.62023784447859","1.2336611619444255","0.93634882191581903"
"112","Cairo","22.06790034618253","Cairo","3","77","2.5316455696202524","1.9215189873417717","Mexico City","65.41","7.8399999999999997E-2","5.1281439999999998","0.56999999999999995","8.9967438596491238","8.0559466940158195","70.267830722625433","53.333283518472705","Durban","1688","3161844","5.3386568091278388","421.6971686071268","1.2156398027003092","0.92267061024953467"
"113","Nairobi","21.090281901363877","Casablanca","3","77","2.5316455696202524","1.9215189873417717","Mumbai","234.95","1.7100000000000001E-2","4.0176449999999999","0.43","9.3433604651162785","8.4025632994829742","68.988569081562972","52.362323932906293","Johannesburg","1874","4434827","4.2256439766421554","422.81018143961245","0.95491179992134789","0.72477805614030311"
"114","Mumbai","19.824816877461185","Dar Es Salaam","3","77","2.5316455696202524","1.9215189873417717","Moscow","361.88","3.1399999999999997E-2","11.363031999999999","1.21","9.3909355371900816","8.4501383715567773","68.812983250374145","52.229054287033975","Nairobi","586","3138369","1.8672119180376814","425.16861349821693","0.40243903196900987","0.30545122526447849"
"115","Lagos","13.750390514532166","Accra","2","78","1.2658227848101262","0.96075949367088587","Lagos","1500","6.3E-3","9.4499999999999993","0.71","13.309859154929578","12.369061989296274","54.349369622656781","41.251171543596499","Manila","1900","11855975","1.6025674817971529","425.43325793445746","0.34044494412596293","0.25839771259160588"
"116","Caracas","5.6293909381133416","Durban","2","78","1.2658227848101262","0.96075949367088587","Dar Es Salaam","10000","5.9999999999999995E-4","5.9999999999999991","0.26","23.076923076923073","22.136125911289771","18.301961552372148","13.891188818250461","Karachi","3169","23500000","1.3485106382978722","425.68731477795677","0.28093104503642508","0.21322666318264663"
"117","Dar Es Salaam","5.2960045110029013","Shanghai","2","78","1.2658227848101262","0.96075949367088587","Accra","19.73","0.48759999999999998","9.6203479999999999","0.37","26.00094054054054","25.060143374907238","7.5102587891384474","5.7002864209560817","Dar Es Salaam","250","4364541","0.57279791849818795","426.46302749775646","9.921703216926403E-2","7.5305727416471402E-2"
"118","Accra","2.6691256957583644","Lagos","1","79","0","0","Caracas","90","0.1651","14.859","0.53","28.035849056603773","27.095051890970471","0","0","Lagos","200","13400000","0.1492537313432836","426.88657168491136","0","0"
