"","Country","Region","Safety","Affordability","Transit","Health","Travel","Employment","Environment","Education","Entrepreneurship","Public.space","Financial.Services","Diversity","Digital.access","Music","Arts","Sports","Film","Civic.engagement","Food.and.nightlife","Fashion","Youth.population"
"15","Detroit","USA/Can",62.4243736937888,80.4304154799468,38.0820384771392,25.646965845376,57.147457804726,38.482,39.0945410300544,48.0663071040218,27.4401606943207,2.79005751988263,21.0400233163188,36.708721275815,55.8960722844311,8.59489726027398,40.3734375,41.714023324826,56.3873420939557,18.6410083762887,36.3304318365019,10.2217948717949,20.8705882352941
"16","Dubai","Middle East ",79.8190077683614,77.9443956379323,41.534694665691,16.0224565838913,40.9804998268658,21.2977997896013,26.9699655349352,21.4563572159029,24.248569077548,0.587863150102965,13.3894389074538,24.1313210475901,47.8467491283063,11.5951284246575,0.5578125,50.5302915247543,26.8421215062552,10.5430009664948,28.6603529585742,3.96666666666667,45.5529411764706
"17","Durban","Africa",60.1284478641565,67.705484959342,16.2581082804761,16.7578442949165,50.8375473028937,38.3260148077782,46.4148706320334,38.5377832352445,23.7545959262361,6.37779855126334,13.2859335689715,45.1172637150072,44.8243953958696,6.80540239726028,7.2515625,43.3913153529547,23.4522994591203,17.570825064433,25.5944735483763,12.8153846153846,32.1647058823529
"18","Hong Kong","Asia",75.4881217759834,74.4328776143612,41.1382724785285,19.3041939209453,57.9696085070519,55.2089718267392,51.8221044121686,40.6891339254353,31.7363320787078,5.64396616505564,15.2501783512192,39.4624636571373,65.3061599001493,8.85555028019925,44.8359375,44.1084589707235,37.9159915864737,12.2215625,32.2799642897945,26.4698717948718,12.3764705882353
"19","Istanbul","Europe",54.7006881096863,71.2065755361559,41.5776465923987,17.577290840192,62.9034337474195,42.5449771339078,29.2492688316254,35.8694402707553,20.427960815529,0.790007653728093,7.98470303271812,25.5687099883749,36.5879405700833,10.051772260274,43.7203125,61.5933491956298,30.6485759830649,17.7584886168385,26.8316905484155,2.66987179487179,28.1176470588235
"20","Jakarta","Asia",66.603890953836,74.1965206605707,38.4444768646904,20.3891641229337,55.2655822692866,42.5405432553106,21.0885679567866,48.7532027024535,20.4087034105514,6.17652498377155,12.5888971703992,22.8553043734187,55.4253611127331,23.31,2.23125,40.7892555789568,29.00579808505,27.1094619845361,29.4993378693886,15.0275641025641,26.2117647058824
"21","Johannesburg","Africa",54.9703883708526,66.4536390973465,34.3221001754004,18.8158988995854,52.5753061686002,36.086598993853,39.8565105155869,38.0276308573747,24.1234555753589,6.40302712319381,14.1109051569651,49.922572206244,35.1732842847585,11.9876198630137,60.4546875,43.5485378245815,29.1285871806687,19.774481314433,26.508379191527,16.400641025641,32.1647058823529
"22","Karachi","Asia",51.9076091788052,67.6091777455625,22.794464266207,22.7598671704241,53.5024027941484,53.2260432553106,43.0425040425253,40.5414774599997,10.9268041119774,4.88497844915526,27.4270861344273,28.1598148909914,53.8519094167743,7.77,43.7203125,42.4880359898029,28.4472101125115,25.3379848582474,23.8701824115512,2.66987179487179,34.7294117647059
"23","Lagos","Africa",60.5265623109656,72.8324407853452,25.7883887758645,13.0377525214128,38.8966827235331,28.5642923466595,43.4204319168208,42.7299170424191,39.1692824041939,0.581242522210694,5.86979309275412,9.5930751459742,50.8373378820331,16.51125,15.61875,37.9284385639891,14.0666405145322,15.404918814433,36.2676282786939,10.9846153846154,38.5647058823529
"24","Lima","Latin America",73.9733794244517,77.6931358491001,39.5238061636284,15.6629364400502,52.4150924580302,44.8181619133379,37.587735302861,33.2500709364936,32.8067280694291,5.92489525791754,14.6045398192254,34.295305029085,53.1612698412698,19.8583561643836,16.1765625,51.1672843604178,25.7141542932576,35.3682474226804,41.6994180456832,0,34.7294117647059
"25","London","Europe",83.4632986393113,73.2126588721432,48.4126935330649,57.4892773697137,64.9097922885709,38.1836736465673,60.8203637629246,40.6539642737329,31.0119636606406,23.6376216354555,25.1060916753712,67.824818702992,64.8954434671852,61.6145034246575,35.7,59.0598310427784,58.3079989392416,15.8930743127148,27.2016329063096,41.8788461538461,22.6588235294118
"26","Los Angeles","USA/Can",73.8296608052861,77.8929859444193,36.5703366087249,24.168549099164,58.3640365954738,45.6327672222301,38.9486807149412,45.1688316927546,45.4151248132242,4.38265756622286,18.7373363619986,48.6401734799636,62.483725879739,39.2691010273973,52.0875,44.8840205776496,52.4750373896857,13.9239610180412,44.3688404558829,20.9012820512821,24.3764705882353
"27","Madrid","Europe",61.7392537835134,74.3630048372922,47.4600563731636,26.4207252893255,59.2009930213052,35.1659719377276,51.4284623065895,50.030519008252,12.9893864239216,13.4362960785639,25.6279324432251,44.7300467120761,71.5901255720996,13.0520034246575,47.625,43.4339239129748,32.9232113851718,13.9709052835052,35.1603024392585,18.3839743589744,4.56470588235294
"28","Manila","Asia",71.7915605966931,72.5813921839041,42.2182751378804,10.9504509480829,50.537722006667,34.5682575410249,47.5220261156881,40.9242280513683,26.1592796352107,6.27227558168884,13.6124804751591,40.1419510196253,39.8157093772071,1.456875,5.0203125,40.5462330722966,23.7338580479819,18.4607625821306,21.9727445952522,0,30.9176470588235
"29","Mexico City","Latin America",74.6416277087525,62.5169371627575,51.2625859222416,20.292338013616,44.992525258575,63.4643757121215,47.9482355716081,49.5644474144073,33.2605638426023,29.9474301018437,15.1090004882067,48.8891664417991,45.293736962276,33.0358047945206,54.31875,46.2966995104907,34.835482390992,43.2244797036083,28.3871921961599,7.55192307692307,26.9647058823529
"30","Miami","USA/Can",71.1122486945616,77.8426797738627,46.0428442267336,22.9949138958754,64.4226655759402,36.5450539623039,43.7161412488475,46.922536278848,43.9054145638068,3.06805843452581,23.4365823203943,43.0322527443465,59.0039794167263,5.86076198630137,1.6734375,39.7435667943614,36.7813040877752,15.7753001503436,27.5220664809025,10.9846153846154,14.1647058823529
"31","Montreal","USA/Can",79.3143441553473,80.2271297864521,43.4615678398917,22.4048102377017,57.642850948476,55.3058133457445,45.2475627914846,46.1781050566524,21.4124140458353,2.53044612875791,15.3453082584353,59.9412035308339,59.0103111624775,20.3297260273973,40.3734375,43.8677207879604,33.2800576125399,14.2524573668385,32.7712402561057,4.65320512820513,15.4352941176471
"32","Moscow","Europe",58.8498605660582,66.393564080119,44.3424938882068,26.6402249061828,52.7937545012809,29.4682232047626,45.0744468377559,34.7058255101126,9.50086169115463,55.7861111153465,44.0461538461538,24.959317991839,39.5024728122306,21.1812328767123,47.0671875,65.0563057060628,30.2413847208867,19.939637564433,20.1666876365124,4.65320512820513,10.0235294117647
"33","Mumbai","Asia",61.9158983948769,61.7577058429897,54.4852138836281,13.9322427888223,52.7233118106513,46.2146781487305,38.190917679141,45.9674810551289,9.92250659032931,1.51720407295413,30.2283300371371,17.9630020269742,28.5491239798158,3.5789897260274,47.625,39.7395034102321,20.1170478901194,19.2092042525773,23.7809056477822,28.1480769230769,37.5529411764706
"34","Nairobi","Africa",42.0027321192719,70.0253139773478,30.0372837495734,14.0175462042118,47.911262949155,27.8540193219831,44.6450793042612,42.120051234917,22.4043806769753,0.224786200443406,5.4834226358395,21.4610748314307,38.7097175124341,4.73650684931507,42.046875,43.178173845219,21.390519243136,17.556668814433,30.505790022805,0,31.7882352941177
"35","New Delhi","Asia",61.5580335633935,74.3142574486694,35.1470731161571,24.7627493523787,54.330205996347,31.8550432553106,34.4848289393506,39.6991592229517,23.772208794022,2.25798452069246,30.5862865025336,23.413037677598,29.9161049542135,5.0358647260274,50.4140625,40.4068466650296,25.0403177746034,19.9617719072165,21.1320768875218,11.6711538461538,38.4470588235294
"36","New York City","USA/Can",74.5564488947952,76.3543901916467,52.8692993255219,27.9584121745267,62.764225371817,55.8911317642113,51.5558875648814,36.7458590331488,44.3748608865821,13.1804537080976,32.0790895137172,54.8447182489201,65.6825837241777,76.243125,50.971875,46.2736465455306,62.5338688928372,18.9621266108247,48.5983589379578,51.5666666666667,20.4
"37","Osaka","Asia",73.4209050674102,79.358053570066,51.6301737240399,21.5479742370475,60.0211276394547,47.5149095972465,52.8196612516141,41.2248283806377,12.1583145326091,1.59424104015203,18.8600653581479,29.2483942686252,50.8450992441649,16.8837842465753,43.1625,44.7980185884472,30.1246343257652,9.72634383701031,57.3824799934581,11.9,5.50588235294117
"38","Paris","Europe",76.9983797662384,75.679866779852,51.1099337563232,24.9939269534626,62.7506612579233,43.0503462841198,46.8570008147645,49.2687359951703,24.2065141188289,28.8981957264599,8.21049775206267,50.1852960193266,64.2981231063945,44.531147260274,67.1484375,48.936273877185,38.882013382777,20.1669807774914,31.0613247020194,13.5019230769231,17.0823529411765
"39","Quito","Latin America",54.2281013653435,76.5503587184084,37.7972063575321,18.0442424892689,49.9301633739848,32.1352266308676,53.9092620946445,54.8811966430906,21.9664944038178,4.08343360724168,4.86893975628928,29.3663197126562,55.8897174047379,14.8015839041096,42.6046875,54.8406197119196,28.9351554795286,37.3506088917526,27.7590651866992,16.400641025641,14.1647058823529
"40","Rio De Janeiro","Latin America",64.6025960105216,64.851668751049,46.2623033144021,19.3655196824128,59.3642779719465,47.57358539539,48.1028459157002,44.1697166661636,23.6387031306676,4.53741603672109,10.1406530208657,34.2367318465492,55.7716419870901,18.8795034246575,45.39375,53.3395656713924,30.7897013952417,24.7284391108247,37.6950875570237,1.98333333333333,25.8352941176471
"41","Rome","Europe",81.9093880865753,71.1555081581818,46.1781242961163,26.7657146537888,58.3245747448822,41.3195837737248,47.2793064438511,53.0079369680564,15.9312343544985,2.40444169295071,17.5662767598795,35.717574537007,57.8398901596397,19.8840154109589,42.046875,45.9569933341595,39.6277798312053,21.0025724871134,30.8266827072995,11.5948717948718,0
"42","San Francisco","USA/Can",72.6291070431992,77.7360890894533,53.5028462482938,25.8644179231244,58.4127553069935,65.901051698346,67.977916354867,43.0957545874384,51.3633436517142,3.36921731154279,19.5245123695657,49.0449731611846,63.0930125912584,21.5604195205479,47.0671875,44.167679339942,61.4989772549171,19.4054458762887,46.1507254085236,7.39935897435897,18.7294117647059
"43","Santiago","Latin America",71.3961294546759,69.1793962763685,48.7447434545389,17.3484606504939,50.6573540620445,63.4479937207826,45.0072146783084,33.9285939621958,32.0320568992463,32.2021002207184,15.3219647876118,33.6981715404722,51.9751190610109,22.5183647260274,50.4140625,50.8790053467169,28.3093124950456,16.6136485180412,27.5060548315738,3.43269230769231,26.1411764705882
"44","Sao Paulo","Latin America",65.8404580196691,65.1101832599728,43.0986608013752,19.9751088694456,59.3326949059588,41.3592629867339,31.2410486813116,34.0018583991693,21.6099750604922,8.50187567551406,14.7928684547492,43.5176944133941,55.027020799064,28.2660359589041,54.8765625,41.6427520685254,32.7899525384922,16.8564776632302,39.9127843598356,1.98333333333333,25.8352941176471
"45","Seoul","Asia",60.9921959882153,78.64935400307,51.6064344107511,20.5198495158829,59.0015445229519,44.2823567030368,34.7366059167819,42.9195606759401,26.6748012452215,12.3304124804474,16.4720595495011,28.7199991036455,60.6087717147219,17.6820719178082,45.39375,47.8931691134523,46.07316015194,15.9712985395189,39.9385846696709,21.8166666666667,12.8470588235294
"46","Shanghai","Asia",75.4866579275496,75.1497534949995,47.1644656884895,20.8582138031851,51.250981788685,37.1733641918184,23.855104350868,38.9863133029936,20.2317116645097,28.472072616256,16.7512182669022,21.6196428153927,44.4161778258264,19.7310102739726,7.809375,45.7868814343737,23.5202832325497,13.3184962402062,41.9532114361376,17.6211538461538,21.9294117647059
"47","Singapore","Asia",80.6208016681217,73.1939248998615,48.573324764606,16.4725364339925,47.7340859048771,33.3872618847623,60.1258997298206,40.60779781423,28.6024310776942,1.67399519708826,19.1961350361811,35.1360141019352,58.1156485654924,12.1206678082192,4.4625,50.3495152185265,31.5043570051439,8.83145682989691,29.7433286626535,2.66987179487179,1.41176470588236
"48","Sydney","Asia",75.8960374328256,80.3428281595625,38.3149660093736,27.3861063315976,57.2008277103535,42.7662163939017,39.2263789749494,49.6033880761365,24.1027607695534,1.36686135502692,20.9737365460748,51.9761478539681,65.5087363147523,21.8730821917808,45.39375,53.4858960161553,43.2967899501006,20.9987683437242,28.7132381199805,10.9846153846154,1.15294117647059
"49","Tehran","Middle East ",62.0595995225989,80.6060372374417,44.7940191604073,14.8647465257347,49.8147505301131,59.4140800150149,49.698982109828,47.8136382890764,17.0531476696506,3.92111749373222,24.7187241406987,9.45772329265082,41.3503099879712,1.456875,43.1625,49.2687885438149,32.1493838531063,22.3702802835052,21.1924661931247,1.98333333333333,29.0823529411765
"50","Tel Aviv","Middle East ",76.8712511505475,77.7711806430541,49.9312937425168,24.0774465635805,59.8524133514813,44.6370909927591,46.9806452375812,42.1866834995278,20.8691424399295,1.11798931804111,20.9335586807389,38.6775039873557,62.6459305030888,35.596977739726,41.4890625,41.1969073677692,28.3248584010032,30.8703543814433,38.2301436191827,15.4852564102564,15.2
"51","Tokyo","Asia",73.7058463363903,79.1846287103773,34.995684837939,23.8979424646313,63.0223859210448,60.7336507610983,46.2868616418561,50.1128147854513,22.0122935092347,23.3104645820219,18.8158741779852,36.9174762650601,55.595869868397,31.7518921232877,43.7203125,49.1672491605722,32.2397850654696,8.63305750180413,59.4262283724762,19.5282051282051,5.45882352941177
"52","Toronto","USA/Can",78.919263784266,76.7749677347019,40.3053449513951,26.208255114312,58.5203988372725,54.9734560709087,46.1480299164642,50.1865383237462,31.6821565042744,7.06087199687988,19.9330104940161,67.8493709516484,63.1671761384623,33.654477739726,45.9515625,44.8378956194538,49.962445661108,15.4038323668385,31.9808641852261,16.7057692307692,16.0235294117647
"53","Vancouver","USA/Can",79.1071509731094,76.2376430694136,58.9847787358944,20.9107458888824,55.5512581224252,45.3809211550046,55.4575095746939,47.6805029746341,26.1492617674323,1.87845606542645,22.2628003104235,50.8846932933665,59.2836880524405,4.45045376712329,40.93125,41.6755643900677,38.0064602887388,15.673887564433,29.3924134905979,10.6794871794872,18.7529411764706
"54","Warsaw","Europe",64.4521214187611,73.1390597616909,41.390621611415,24.857946779109,55.0259966143154,43.5955190588754,43.1062015299658,72.3055580826028,23.175361053766,13.5213161321623,15.5822249235554,33.6335863358714,62.3625952827588,22.4318835616438,43.1625,57.7575306534816,43.1612838998162,21.3153234536083,43.702602913336,2.66987179487179,5.95294117647059
"55","Washington","USA/Can",71.271969800188,78.2686035161128,48.8048810906334,21.0853983543637,57.1813531576739,43.4000700687137,47.5932200281114,59.9890913488711,27.9934501680049,2.74889132955414,10.0930593663025,43.4880448888449,60.1395973616064,15.6198287671233,39.815625,42.8409307877807,53.5938508208958,22.4653215987192,50.6895546340193,8.16217948717949,14.5882352941176
